Časovna Značka (CEST/CET);Poraba [kWh];Dinamične Cene [EUR/kWh]
2024-08-05T13:45:00+02:00;4,5;0,11038
2024-08-05T14:00:00+02:00;92,225;0,12693
2024-08-05T14:15:00+02:00;89,075;0,12693
2024-08-05T14:30:00+02:00;4,5;0,12693
2024-08-05T14:45:00+02:00;0;0,12693
2024-08-05T15:00:00+02:00;24,2;0,13848
2024-08-05T15:15:00+02:00;85,625;0,13848
2024-08-05T15:30:00+02:00;117;0,13848
2024-08-05T15:45:00+02:00;142,65;0,13848
2024-08-05T16:00:00+02:00;104,05;0,13626
2024-08-05T16:15:00+02:00;38,7;0,13626
2024-08-05T16:30:00+02:00;83,775;0,13626
2024-08-05T16:45:00+02:00;93,325;0,13626
2024-08-05T17:00:00+02:00;75,8;0,14028
2024-08-05T17:15:00+02:00;57,275;0,14028
2024-08-05T17:30:00+02:00;43,725;0,14028
2024-08-05T17:45:00+02:00;35,275;0,14028
2024-08-05T18:00:00+02:00;65,25;0,13812
2024-08-05T18:15:00+02:00;71,05;0,13812
2024-08-05T18:30:00+02:00;104,4;0,13812
2024-08-05T18:45:00+02:00;126,025;0,13812
2024-08-05T19:00:00+02:00;146,125;0,25565
2024-08-05T19:15:00+02:00;151,75;0,25565
2024-08-05T19:30:00+02:00;145,05;0,25565
2024-08-05T19:45:00+02:00;149,625;0,25565
2024-08-05T20:00:00+02:00;167,565;0,36967
2024-08-05T20:15:00+02:00;164,1075;0,36967
2024-08-05T20:30:00+02:00;167,8075;0,36967
2024-08-05T20:45:00+02:00;163,905;0,36967
2024-08-05T21:00:00+02:00;160,205;0,27295
2024-08-05T21:15:00+02:00;163,555;0,27295
2024-08-05T21:30:00+02:00;159,755;0,27295
2024-08-05T21:45:00+02:00;161,88;0,27295
2024-08-05T22:00:00+02:00;156,305;0,18608
2024-08-05T22:15:00+02:00;157,93;0,18608
2024-08-05T22:30:00+02:00;146,43;0,18608
2024-08-05T22:45:00+02:00;144,48;0,18608
